name,link,published,id,district,county,party,personal_history,occupation,parents,education,career,affiliations,military_service,district_1_street1,district_1_street2,district_1_citystatezip,district_1_phone,district_2_street1,district_2_street2,district_2_citystatezip,district_2_phone,district_3_street1,district_3_street2,district_3_citystatezip,district_3_phone,capitol_street1,capitol_street2,capitol_citystatezip,capitol_phone,image_src,member_elect,member_vacant
CHRISTINE M. TARTAGLIONE,https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=277,"time.struct_time(tm_year=2024, tm_mon=11, tm_mday=19, tm_hour=10, tm_min=45, tm_sec=4, tm_wday=1, tm_yday=324, tm_isdst=0)",Senate_2_20241119_104504,02,Philadelphia County (Part),D,,State Senator,Eugene M. and Margaret Tartaglione,"Peirce College, 1980","Mem. Joint Select Committee on Election Issues, Gov Task Force on Voting Modernization, Firefighters and Emergency Services and Port Caucuses, Delaware River Basin Commission, Temple University Health System Episcopal Hospital, PATH (People Acting to Help), Empowerment Zone Board, Impact Services Corp, President's Advisory Council of the American Street Corridor Business Assoc, PenJerDel Steering Committee, and Ecumenical Hospitaller Order of St. John Knights of Malta.  Former Chair of Dem. State Committee.  Recipient Firefighters Friend Award, John F. Kennedy Memorial Award, Working Woman of the Year Award by Coalition of Labor Union Women, Achievement Award from Concerned Black Leaders of Lower Tioga-Hunting Park, Fireman and Prison Guard Assoc of Phila and PHILAPOSH Woman of the Year, cited in Italian Americans of the 20th Century; Member of Senate 1995 to date; Minority Caucus Administrator 2009-2010; elected Minority Caucus Secretary 2011.",,,5321 Oxford Avenue,,"Philadelphia, PA 19124",(215) 533-0440,400 West Allegheny Avenue,,"Philadelphia, PA 19133",(215) 291-4653,,,,,458 Main Capitol,,"Harrisburg, PA 17120",(717) 787-1141,https://www.palegis.us/resources/images/members/200/277.jpg,,false
SHARIF STREET,https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1767,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=15, tm_hour=13, tm_min=45, tm_sec=48, tm_wday=1, tm_yday=105, tm_isdst=0)",Senate_3_20250415_014548,03,Philadelphia County (Part),D,"Married to April Street, 5 children",Attorney/ State Senator,Helen and John Street,"Morehouse College, Cum Laude, B.A. in Business Administration and a concentration in Finance. University of Pennsylvania Law School in 1999.","Member of the American, Pennsylvania, Philadelphia and National Bar Associations, member of the Philadelphia Barristers Association; formerly Chief Legislative Advisor to the Democratic Chair of the Housing and Urban Development Committee and creator of Philadelphia Green Communities; co-founder and served on the Board of Directors of Urban Solution, a non-profit corporation created to address the health needs of traditionally under-served communities; council for HOPE VI, formerly managing director of the Housing Association of Delaware Valley; served on the board of the North Central Philadelphia Empowerment Zone's Housing Trust Fund and was a member of the North-Central Empowerment Zone's Community Advisory Committees for Housing, Crime and Public Safety, and Economic Development; and current member of Philadelphia's African and Caribbean Immigrant Affairs Commission.",,,1621 West Jefferson Street,,"Philadelphia, PA 19121",(215) 227-6161,4458 A Germantown Avenue,,"Philadelphia, PA 19140",(215) 457-5200,,,,,535 Main Capitol,,"Harrisburg, PA 17120",(717) 787-6735,https://www.palegis.us/resources/images/members/200/1767.jpg,,false
ARTHUR L HAYWOOD III,https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1689,"time.struct_time(tm_year=2024, tm_mon=11, tm_mday=19, tm_hour=10, tm_min=45, tm_sec=4, tm_wday=1, tm_yday=324, tm_isdst=0)",Senate_4_20241119_104504,04,Montgomery County (Part) and Philadelphia County (Part),D,Married Julie Billingslea of Ardmore,State Senator,Arthur and Virginia Haywood,"B.A. Magna Cum Laude, Morehouse College, 1979; MsC London School of Economics (Marshall Scholar), 1981; J.D. University of Michigan Law School, 1985.","Worked to expand independence and power in low-income neighborhoods: Housing Attorney at Regional Housing Legal Services and Community Legal Services; Legal Counsel and Executive Vice President at Esperanza; partner in private practice representing community organizations in neighborhood revitalization activities; board member at Tenant Union Representative Network and Cheltenham Achievers Network; recognized for work by Pennsylvania Human Relations Commission, Christian Legal Aid Society, U.S. Department of Housing and Urban Development and John Marshall Fair Housing Institute; Commissioner Cheltenham Township 2010-2014; elected to the State Senate November 4, 2014.",,,1168 Easton Road,,"Abington, PA 19001",(215) 517-1434,7106 Germantown Avenue,,"Philadelphia, PA 19119",(215) 242-8171,,,,,10 East Wing,,"Harrisburg, PA 17120",(717) 787-1427,https://www.palegis.us/resources/images/members/200/1689.jpg,,false
JOE PICOZZI,https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=2036,"time.struct_time(tm_year=2025, tm_mon=4, tm_mday=16, tm_hour=11, tm_min=48, tm_sec=2, tm_wday=2, tm_yday=106, tm_isdst=0)",Senate_5_20250416_114802,05,Philadelphia County (Part),R,,,,,"Joe Picozzi is a state senator-elect serving Northeast Philadelphia's 5th Senate District. At 29, he is the youngest state senator in Pennsylvania and the first Republican elected to represent Philadelphia in the State Senate since 1996. <br /><br /><br /><br />The son of a Philadelphia firefighter and a special education teacher, he was born and raised in Somerton and resides in Tacony.<br /><br /><br /><br />Before running for office, Joe served as chief of staff at the Manhattan Institute and was an aide to future Speaker of the House Kevin McCarthy. Joe graduated from Georgetown University in 2017 where he was a George F. Baker Scholar. An Eagle Scout, Joe has been dedicated to public service since an early age. He founded the Politics Club at his high school Holy Ghost Preparatory School and was appointed to the Philadelphia Youth Commission by City Councilman Brian O'Neill.",,,12361 Academy Rd,,"Philadelphia, PA 19154",(215) 281-2539,,,,,,,,,187 Main Capitol,,"Harrisburg, PA 17120",(717) 787-9608,https://www.palegis.us/resources/images/members/200/2036.jpg,,false
FRANK A. FARRY,https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1169,"time.struct_time(tm_year=2025, tm_mon=1, tm_mday=16, tm_hour=11, tm_min=52, tm_sec=54, tm_wday=3, tm_yday=16, tm_isdst=0)",Senate_6_20250116_115254,06,Bucks County (Part),R,"Married Kristen; 1 son, Jacob and 1 daughter, Charlotte",Legislator,,"Neshaminy High School, 1990<br />University of Pennsylvania, Wharton School, 1995<br />Rutgers University, M.S., Public Policy, 1998<br />Rutgers University, Law Degree, 2000","Frank Farry was elected to the Senate of Pennsylvania in November 2022 to represent the 6th Senate District in Bucks County after serving in the House of Representatives for seven terms. Farry has authored more than 30 pieces of legislation.  His advocacy focus has been on veterans' and armed forces groups, the disability community, animal welfare groups, first responder community, senior citizen concerns, health care, addiction and recovery issues, ensuring a quality education, and protecting taxpayers.<br /><br /><br /><br />As a lifelong resident of Bucks County, Farry has been serving his community his entire career.  He has been the chief of Langhorne-Middletown Fire Company since 2001, and a member of the organization for over three decades.  He served his hometown of Middletown Township for more than seven years in various roles, including assistant township manager, director of community services, acting township manager, public information officer and emergency management team member. <br /><br /><br /><br />Farry resides in Langhorne with his wife Kristen and their children Jacob and Charlotte.",,,370 East Maple Avenue,Suite 203,"Langhorne, PA 19047",(215) 638-1784,,,,,,,,,351 Main Capitol,,"Harrisburg, PA 17120",(717) 787-5072,https://www.palegis.us/resources/images/members/200/1169.jpg,,false
VINCENT J. HUGHES,https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=152,"time.struct_time(tm_year=2025, tm_mon=1, tm_mday=16, tm_hour=12, tm_min=6, tm_sec=35, tm_wday=3, tm_yday=16, tm_isdst=0)",Senate_7_20250116_120635,07,Montgomery County (Part) and Philadelphia County (Part),D,,State Senator,James and Ann Hughes,Temple University,"State Senator Vincent Hughes is one of Pennsylvania's leading Democratic voices on local, state, and national issues. First as a State Representative and now as a State Senator for the 7th Senatorial District, he has fought tirelessly for investments and progress in education, affordable housing, healthcare, gun violence prevention, mental health, voting rights, and much more.<br /><br /><br /><br />In 2010, his colleagues elected him to be the Democratic Chairman of the Senate Appropriations Committee to craft PA's state budget of $47B+, one of the most important legislative responsibilities in PA government. <br /><br />Throughout his career as an elected official, Senator Hughes has made education one of his top priorities. He is the recognized and accepted legislative leader in PA's fight to adapt a constitutional and adequately funded K-12 education funding formula. Most recently he helped negotiate an over a $1 billion increase for Pre-K to 12 education funding to address the Commonwealth's unconstitutional education funding system. He has also been a leader in the fight for free and affordable college. Senator Hughes introduced the PA Promise legislation, which provides grants to PA students to afford college, and was proud to advocate for a substantial increase in higher education investments in the FY24-25 budget. <br /><br /><br /><br />He has successfully introduced, passed, and funded legislation to create and implement PA's Diverse Teacher Pipeline program and Student Teacher Stipend program. And as a champion for literacy, Senator Hughes created the Read 2 Succeed program, which has helped thousands of PA teachers, students, and families in their effort to attain grade level reading. <br /><br /><br /><br />As a champion for voting rights, Senator Hughes introduced legislation for Automatic Voter Registration in all state activities, which has since been adapted into AVR for all PA residents obtaining driver licenses and ID cards with the Pennsylvania Department of Transportation (PennDOT). Senator Hughes also engineered the adaption of PA's Constitutional Amendment banning discrimination based on race. <br /><br /><br /><br />He is a member of Cheyney University's Council of Trustees. He and his family established the James Hughes Memorial Scholarship Fund, in honor of his late father, which has awarded more than $1 million in college scholarships to talented students who have overcome challenges and want to make a positive difference in the world.<br /><br /><br /><br />He is supported by his loving wife, actress, entertainer, and activist Sheryl Lee Ralph, and their blended family of four children.",,,2401 North 54th Street,,"Philadelphia, PA 19131",(215) 879-7777,,,,,,,,,545 Main Capitol,,"Harrisburg, PA 17120",(717) 787-7112,https://www.palegis.us/resources/images/members/200/152.jpg,,false
ANTHONY H. WILLIAMS,https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=153,"time.struct_time(tm_year=2024, tm_mon=11, tm_mday=19, tm_hour=10, tm_min=45, tm_sec=4, tm_wday=1, tm_yday=324, tm_isdst=0)",Senate_8_20241119_104504,08,Delaware County (Part) and Philadelphia County (Part),D,Married to Shari,State Senator,Hardy and Carole Williams,"Franklin and Marshall College, Majored in Economics","Williams, Anthony H. (D) (2006)- Delaware (part) and Philadelphia (part) Counties - State Senator; s. Hardy, and Mrs. Carole Williams-Green; g. Franklin & Marshall College, B.S. in Economics; m. Shari, Aug. 26, 1995; chrm. Black Elected Officials of Philadelphia County, 2004; co-founder Neighborhoods United Against Crime and Diversity Apprenticeship Program (DAP); co-chrm. Philadelphia Delegation, House of Representatives, 1991-1998; founder Philadelphians Stopping Crime & Violence, Urban Mass Transit Task Force, 1999, Philadelphia Revitalization and Education Task Force, 2000; South/South West Environmental Cooperative, 1998; pres. Renaissance Advantage Charter School, 1999; bd. dir, Organized Anti-Crime Community Network, Cobbs Creek Black Family Services Inc.; mem. PA Legislative Black Caucus; and Greater Philadelphia Urban Affairs Coalition; fmr. bd. mem., SEPTA, West Branch YMCA; fmr. trustee Temple University; fmr. member, Pennsylvania Council on the Arts; mem. Ethics and Official Conduct Committee; mem. Policy Committee; mem. Legislative Data Processing Committee; Member of House 1989-1998; Member of Senate 1999 to date; elected Minority Caucus Chair 2011.",,,2901 Island Avenue,Suite 100,"Philadelphia, PA 19153",(215) 492-2980,,,,,2103 Snyder Avenue,,"Philadelphia, PA 19145",(215) 489-5200,11 East Wing,,"Harrisburg, PA 17120",(717) 787-5970,https://www.palegis.us/resources/images/members/200/153.jpg,,false
JOHN I. KANE,https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1925,"time.struct_time(tm_year=2024, tm_mon=11, tm_mday=19, tm_hour=11, tm_min=25, tm_sec=7, tm_wday=1, tm_yday=324, tm_isdst=0)",Senate_9_20241119_112507,09,Chester County (Part) and Delaware County (Part),D,,State Senator,,,"Senator John Kane is a plumber and local labor leader who has spent his life fighting for working people and working families. He has personally battled through many of the challenges facing Pennsylvanians today, and is ready to be a voice at the table for Delaware and Chester Counties. After graduating high school in Delaware County, Kane joined Plumbers Local 690, the union he represented as business manager for five terms. Kane led his union through the Great Recession, which put nearly 500 members out of work. As members struggled with mental health issues and substance abuse, Kane provided strong, steady leadership and worked to deliver a recovery that brought his local back stronger than ever. Kane's union benefits also helped him through his own personal struggles. At the age of 22, Kane sought treatment for alcohol addiction. His union benefits allowed him the treatment he needed, and he now proudly has 37 years sobriety. In 2015, Kane was diagnosed with stage three cancer. Thanks to his union healthcare, and the incredible doctors, nurses, and hospital staff, Kane has been cancer-free for five years. He knows that his experience isn't unique, and is ready to fight for affordable healthcare for all Pennsylvanians. Kane lives in Birmingham with his wife, Lori. He sits on the board of the Livengrin Foundation, which provides addiction treatment across Southeastern PA.",,,504 Ave. of the States,,"Chester, PA 19013",(610) 447-5845,381 Brinton Lake Rd,Suite 3,"Thornton, PA 19373",,,,,,458 Main Capitol,,"Harrisburg, PA 17120",(717) 787-4712,https://www.palegis.us/resources/images/members/200/1925.jpg,,false
STEVEN J. SANTARSIERO,https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1179,"time.struct_time(tm_year=2024, tm_mon=12, tm_mday=13, tm_hour=10, tm_min=8, tm_sec=21, tm_wday=4, tm_yday=348, tm_isdst=0)",Senate_10_20241213_100821,10,Bucks County (Part),D,,State Senator,,,"Senator Steve Santarsiero considers public service a calling. After witnessing the September 11th attacks from the window of his law office in Newark, New Jersey, Steve decided to seek a new career in teaching as a way to serve the community. After a couple years of night classes at Holy Family University, Steve received his state certification and was hired as a social studies teacher at Bensalem High School. At BHS he worked hard to give the next generation a strong foundation in history and civics to help them succeed and participate fully as citizens of our country. <br /><br />At about that same time, Steve became a leader in a grassroots movement to stop a big box shopping mall in Lower Makefield. That experience led him to run for township supervisor. He was elected in 2003. As a supervisor he worked with both Republicans and Democrats alike. He led efforts to make government more open and transparent, to solve traffic problems, and to preserve open space and the environment. In 2008, Steve ran and won the State House seat in the Yardley-Newtown area of Bucks County. In Harrisburg he was a reformer, writing the bill that would ultimately get adopted as new House rules on keeping politics and government service separate; refusing perks like per diems and a state car; and not collecting his pay during prolonged budget impasses in 2009 and 2015-16. Steve was also a leader on education, infrastructure investment, environmental protection, women's health issues and gun violence prevention.<br /><br />Back home in Bucks County, Steve led the effort to get PECO to improve the resiliency of its electric grid, vastly reducing the number of power outages in the area. He also worked to bring jobs into his district and successfully lobbied the New Jersey Legislature to grandfather current employees when it passed a new law requiring all public sector workers in the Garden State to live in New Jersey, thereby saving the jobs of thousands of Bucks residents who worked across the Delaware River. In 2017, Attorney General Josh Shapiro appointed Steve the first Chief Deputy Attorney General for Environmental Protection in Pennsylvania. In that role, Steve oversaw the prosecution of environmental crimes and led Pennsylvania's efforts to fight the Trump Administration over proposed rollbacks of important environmental protections. Steve is a graduate of Tufts University where he received his B.A. He received his J.D. from the University of Pennsylvania Law School and his M.Ed. from Holy Family University. Steve and his wife Ronni have lived in the same house in Lower Makefield for over 23 years. They have three children, Nancy, Billy and Johnny.",,,Doylestown Borough Hall,10 Doyle Street,"Doylestown, PA 18901",(215) 489-5000,3 Terry Drive,Suite 200,"Newtown, PA 18940",(215) 497-9490,,,,,182 Main Capitol,,"Harrisburg, PA 17120",(717) 787-7305,https://www.palegis.us/resources/images/members/200/1179.jpg,,false
JUDITH L. SCHWANK,https://www.legis.state.pa.us/cfdocs/legis/home/member_information/Senate_bio.cfm?id=1234,"time.struct_time(tm_year=2024, tm_mon=11, tm_mday=19, tm_hour=11, tm_min=27, tm_sec=57, tm_wday=1, tm_yday=324, tm_isdst=0)",Senate_11_20241119_112757,11,Berks County (Part),D,Married to James,Legislator,Bernard (deceased) and Margaret Levine,"Graduated Penn State University, 1982, M.Ed., Agri. Ed.","Judith L. Schwank was elected to the Pennsylvania Senate in a special election in 2011. Before joining the Senate, Senator Schwank served as a Berks County Horticulture Agent for Penn State Cooperative Extension. She is also the former President and CEO of 10,000 Friends of PA and the former Dean of Agriculture & Environmental Science at Delaware Valley College. Senator Schwank became the first female Berks County Commissioner in 2000. She currently serves as Minority Chair of Senate Agriculture and Rural Affairs Committee and is a member of several boards including the Farm Show Commission, Commission for Agriculture Education Excellence, Center for Rural Pennsylvania, United Way of PA and the PA State System of Higher Education. In the Senate, Senator Schwank has served as the Caucus Administrator since 2021.",,,210 George Street,Suite 201,"Reading, PA 19605",(610) 929-2151,,,,,,,,,457 Main Capitol,,"Harrisburg, PA 171203011",(717) 787-8925,https://www.palegis.us/resources/images/members/200/1234.jpg,,false
